TEAM_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,PLAYER_SLUG,POSITION,HEIGHT,WEIGHT,AGE,EXPERIENCE
1610612752,NYK,203457,Nerlens Noel,nerlens-noel,C-F,6-11,220,26.0,6
1610612752,NYK,201565,Derrick Rose,derrick-rose,G,6-2,200,32.0,11
1610612752,NYK,1630193,Immanuel Quickley,immanuel-quickley,G,6-3,190,21.0,R
1610612752,NYK,203901,Elfrid Payton,elfrid-payton,G,6-3,195,27.0,6
1610612752,NYK,1629628,RJ Barrett,rj-barrett,F-G,6-6,214,20.0,1
1610612752,NYK,1628373,Frank Ntilikina,frank-ntilikina,G,6-4,200,22.0,3
1610612752,NYK,1629738,Vincent Poirier,vincent-poirier,C-F,7-0,235,27.0,1
1610612752,NYK,202692,Alec Burks,alec-burks,G,6-6,214,29.0,9
1610612752,NYK,1628995,Kevin Knox II,kevin-knox-ii,F,6-7,215,21.0,2
1610612752,NYK,1629033,Theo Pinson,theo-pinson,G-F,6-5,212,25.0,2
1610612752,NYK,1628390,Terrance Ferguson,terrance-ferguson,G,6-6,190,22.0,3
1610612752,NYK,1629011,Mitchell Robinson,mitchell-robinson,C-F,7-0,240,22.0,2
1610612752,NYK,203493,Reggie Bullock,reggie-bullock,G-F,6-6,205,30.0,7
1610612752,NYK,203944,Julius Randle,julius-randle,F-C,6-8,250,26.0,6
1610612752,NYK,201959,Taj Gibson,taj-gibson,F,6-9,232,35.0,11
1610612746,LAC,202704,Reggie Jackson,reggie-jackson,G,6-2,208,30.0,9
1610612746,LAC,202695,Kawhi Leonard,kawhi-leonard,F,6-7,225,29.0,9
1610612746,LAC,1630206,Jay Scrubb,jay-scrubb,G,6-5,220,20.0,R
1610612746,LAC,1628379,Luke Kennard,luke-kennard,G,6-5,206,24.0,3
1610612746,LAC,200765,Rajon Rondo,rajon-rondo,G,6-1,180,35.0,14
1610612746,LAC,1629599,Amir Coffey,amir-coffey,G-F,6-7,210,23.0,1
1610612746,LAC,202694,Marcus Morris Sr.,marcus-morris-sr,F,6-8,218,31.0,9
1610612746,LAC,201586,Serge Ibaka,serge-ibaka,F,6-10,235,31.0,11
